BOYD-88 ST	29132
NEWKIRK PLAZA	67291
PATH WTC	277123
TREMONT AVE	60216
22 AVE-BAY PKY	9549
57 ST-7 AVE	137500
52 ST-LINCOLN	41279
NASSAU AV	56246
NOSTRAND AVE	137844
BROAD ST	37713
HIGH ST	57361
DYCKMAN-200 ST	43812
CROWN HTS-UTICA	169835
EASTERN PKWY	31379
JFK HOWARD BCH	17216
135 ST	127894
LORIMER ST	68545
BROADWAY/LAFAY	153082
VAN SICLEN AVE	38759
8 ST-B'WAY NYU	105764
25 AVE	26744
CYPRESS HILLS	8951
14TH STREET	56485
BOROUGH HALL/CT	218302
SHEPHERD AVE	20595
W 8 ST-AQUARIUM	22862
NORWOOD AVE	22326
ORCHARD BEACH	2
NEW LOTS AVE	77152
182-183 ST	31743
71 ST	25660
MONTROSE AVE	44956
6 AVE	37202
NEWARK C	28794
PRESIDENT ST	22309
116 ST-COLUMBIA	86000
PELHAM PARKWAY	78173
49 ST-7 AVE	156396
JAMAICA-VAN WYC	30809
BRONX PARK EAST	17308
ROCKAWAY PK 116	6686
GUN HILL ROAD	77046
GROVE STREET	109221
QUEENS PLAZA	62438
UNION ST	38285
BARCLAYS CENTER	259977
PROSPECT AVE	77969
E 177 ST-PARKCH	99018
RALPH AVE	35790
181 ST	144654
104 ST	14130
BEDFORD AVE	179341
OCEAN PARKWAY	20845
HARRISON	48836
AQUEDUCT-N CNDT	7848
RECTOR ST	88878
175 ST	86478
DITMARS BL-31 S	105547
7 AVE-53 ST	104465
KINGSBRIDGE RD	106306
42 ST-BRYANT PK	242657
WESTCHESTER SQ	37886
61 ST/WOODSIDE	109328
INTERVALE-163	19954
14 ST	264096
BAY PARKWAY	43362
FOREST PARKWAY	24469
MT EDEN AVE	36002
INWOOD-207 ST	58496
UNION TPK-KEW G	164803
TWENTY THIRD ST	49716
238 ST	25854
WORLD TRADE CTR	95254
CORTLANDT ST	58776
KINGSTON-THROOP	37307
176 ST	38575
ALABAMA AVE	15819
NEW UTRECHT AVE	38838
KOSCIUSZKO ST	31350
NEREID AVE	22800
GRAND ST	200727
OXFORD-104 ST	12283
BEACH 105 ST	2335
79 ST	143248
LACKAWANNA	46510
BROAD CHANNEL	2244
NEWARK HM HE	6
STERLING ST	35171
ELDERTS LANE	21807
BLEECKER ST	94320
FAR ROCKAWAY	31189
7 AV-PARK SLOPE	74628
CORTELYOU ROAD	38036
FOREST HILLS-71	174602
FLATBUSH AVE	115621
BURKE AVE	22221
59 ST	389835
PARK PLACE	33456
E 149 ST	28576
EUCLID AVE	57581
174 ST	37386
191 ST	51948
8 AVE	249384
FRANKLIN ST	34991
BEVERLEY ROAD	17646
81 ST-MUSEUM	93442
149 ST-3 AVE	131569
7 AVE	58258
DITMAS AVE	25826
NEWKIRK AVE	47527
169 ST	52835
NEWARK BM BW	86631
15 ST-PROSPECT	40804
LAFAYETTE AVE	30594
40 ST-LOWERY ST	64576
KNICKERBOCKER	24729
MORRISON AVE	40873
149 ST-GR CONC	75368
JFK JAMAICA CT1	51379
CHAUNCEY ST	19945
CITY / BUS	89829
VERNON/JACKSON	90963
MARBLE HILL-225	36756
MORGAN AVE	47832
72 ST	318528
82 ST-JACKSON H	98389
50 ST	311774
HALSEY ST	88817
NEVINS ST	64538
HOWARD BCH-JFK	15350
190 ST	30043
ROCKAWAY AVE	33166
FLUSHING AVE	73863
CLINTON-WASH AV	69235
SENECA AVE	16512
STEINWAY ST	93084
ELDER AVE	39923
69 ST-FISK AVE	30665
5 AVE-53 ST	153472
42 ST-GRD CNTRL	936689
