Station,4WkTotal,PerWkAverage,Sat_Av,Sun_Av,Mon_Av,Tues_Av,Weds_Av,Thurs_Av,Fri_Av,Lat,Lng
"('COURT SQ-23 ST', 'EMG')",204133,51033.25,3595,3290,8119,7917,9719,8893,8904,40.747257,-73.945112
"('53 ST', 'R')",184471,46117.75,4365,3954,7286,7537,7616,7442,7511,40.644959,-74.014034
"('116 ST', 'BC')",179221,44805.25,3331,3582,7065,7388,7707,7412,7804,40.805072,-73.954833
"('CHAMBERS ST', 'ACE23')",908034,227008.5,13838,13345,37129,39982,40967,40847,37995,40.71433,-74.008563
"('55 ST', 'D')",47917,11979.25,546,898,2038,2119,2180,2076,2048,40.631412,-73.995473
"('SPRING ST', '6')",302763,75690.75,6394,7040,10479,11900,12295,12665,13186,40.722397,-73.997211
"('111 ST', 'J')",65080,16270.0,1449,1260,2725,2586,2730,2631,2759,40.697405,-73.836354
"('CHURCH AVE', 'FG')",266138,66534.5,6281,6103,10538,10701,10920,10805,10680,40.644039,-73.979541
"('57 ST-7 AVE', 'NQR')",570649,142662.25,12125,14146,20477,22842,23637,23801,22812,40.764755,-73.980646
"('NECK ROAD', 'BQ')",105201,26300.25,2299,2097,4275,4350,4385,4415,4322,40.595234,-73.95509
"('138 ST-3 AVE', '6')",200624,50156.0,4711,4062,7907,8174,8393,8187,8322,40.810512,-73.926165
"('66 ST-LINCOLN', '1')",613226,153306.5,12459,14134,22877,24731,25954,25484,24869,40.773424,-73.982234
"('NASSAU AV', 'G')",233338,58334.5,5422,5346,9050,9253,9462,9341,9583,40.724608,-73.951271
"('42 ST-TIMES SQ', '1237ACENQRS')",2331035,582758.75,46972,60068,83491,89767,95337,95919,95207,40.755905,-73.986504
"('34 ST-HERALD SQ', 'BDFMNQR')",3048279,762069.75,57465,60670,116130,125721,129360,129459,126559,40.749533,-73.987899
"('BEACH 67 ST', 'A')",65759,16439.75,1712,1693,2542,2465,2692,2592,2598,40.590867,-73.797011
"('BUHRE AVE', '6')",75358,18839.5,1283,1051,3170,3243,3333,3319,3340,40.846817,-73.832545
"('125 ST', '1')",199532,49883.0,3696,3977,7747,8226,8497,8396,8519,40.815596,-73.958395
"('15 ST-PROSPECT', 'FG')",171422,42855.5,3927,3944,6357,6612,6876,7396,6764,40.660376,-73.979509
"('ALABAMA AVE', 'J')",65692,16423.0,1642,1464,2533,2571,2725,2621,2660,40.677107,-73.898871
"('BROAD ST', 'JZ')",150217,37554.25,319,746,6880,7541,7394,7343,7068,40.706539,-74.011052
"('207 ST', '1')",161313,40328.25,3128,3199,6353,6581,6858,6799,6809,40.864653,-73.918719
"('8 AVE', 'ACEL')",716422,179105.5,18982,21031,23999,24843,27464,29032,29510,40.740388,-74.002104
"('SUTTER AVE', '3')",191103,47775.75,4274,3863,7995,8052,8333,8166,8422,40.664591,-73.922668
"('JAMAICA-VAN WYC', 'E')",126060,31515.0,2686,2263,5138,5263,5428,5319,5195,40.702566,-73.816859
"('KOSCIUSZKO ST', 'J')",127861,31965.25,3059,3041,4975,5043,5208,5050,5241,40.693329,-73.928826
"('LACKAWANNA', '1')",187129,46782.25,1780,1450,8591,9035,9160,8908,7714,,
"('BEACH 36 ST', 'A')",24299,6074.75,559,543,955,984,1019,975,983,40.595381,-73.768194
"('PENNSYLVANIA AV', '3')",180373,45093.25,3079,2699,7465,7644,7987,7774,7949,40.664884,-73.894258
"('161 ST-YANKEE', '4BD')",327702,81925.5,5263,13165,9128,10976,16065,11819,10839,40.827888,-73.925736
"('116 ST-COLUMBIA', '1')",317315,79328.75,5656,5533,13456,14524,14841,14649,13936,40.80819,-73.964124
"('47-50 ST-ROCK', 'BDFM')",1462924,365731.0,15414,17992,59266,67291,66949,67343,65326,40.758652,-73.981311
"('225 ST', '25')",116254,29063.5,2866,2388,4682,4648,4858,4590,4790,40.887887,-73.860505
"(""8 ST-B'WAY NYU"", 'NR')",446070,111517.5,10056,11747,15717,17486,17751,18165,17675,40.730348,-73.992705
"('116 ST', '6')",423649,105912.25,11978,10096,16495,16555,17553,17035,15101,40.798574,-73.941593
"('KINGSBRIDGE RD', 'BD')",199595,49898.75,4754,4177,7881,8044,8341,8034,8338,40.866974,-73.893485
"('BROOK AVE', '6')",159519,39879.75,4159,3600,6193,6199,6446,6299,6627,40.808044,-73.919234
