Station,Total,Lat,Lng
BOYD-88 ST,29132,40.679857,-73.851492
PATH WTC,277123,40.711638,-74.010708
TREMONT AVE,60216,40.850307,-73.905244
22 AVE-BAY PKY,9549,40.620907,-73.975453
57 ST-7 AVE,137500,40.764755,-73.980646
52 ST-LINCOLN,41279,40.744103,-73.912497
NASSAU AV,56246,40.724608,-73.951271
NOSTRAND AVE,137844,40.68041,-73.950326
BROAD ST,37713,40.706539,-74.011052
HIGH ST,57361,40.699316,-73.990474
DYCKMAN-200 ST,43812,40.865286,-73.92698
CROWN HTS-UTICA,169835,40.669279,-73.932967
EASTERN PKWY,31379,40.672013,-73.96436
JFK HOWARD BCH,17216,40.660476,-73.830301
135 ST,127894,40.814459,-73.940992
LORIMER ST,68545,40.703855,-73.947387
BROADWAY/LAFAY,153082,40.725297,-73.996204
VAN SICLEN AVE,38759,40.665405,-73.889451
8 ST-B'WAY NYU,105764,40.730348,-73.992705
25 AVE,26744,40.597873,-73.986955
CYPRESS HILLS,8951,40.689945,-73.872564
14TH STREET,56485,40.737434,-73.996785
BOROUGH HALL/CT,218302,40.692404,-73.990151
SHEPHERD AVE,20595,40.674161,-73.880761
W 8 ST-AQUARIUM,22862,40.576152,-73.975925
NORWOOD AVE,22326,40.681598,-73.880074
ORCHARD BEACH,2,40.852417,-73.828082
NEW LOTS AVE,77152,40.666252,-73.884087
182-183 ST,31743,40.856085,-73.900695
71 ST,25660,40.619588,-73.998842
MONTROSE AVE,44956,40.707889,-73.940005
6 AVE,37202,40.737348,-73.9969
NEWARK C,28794,,
PRESIDENT ST,22309,40.667879,-73.950648
116 ST-COLUMBIA,86000,40.80819,-73.964124
PELHAM PARKWAY,78173,40.858973,-73.855355
49 ST-7 AVE,156396,40.760139,-73.984112
JAMAICA-VAN WYC,30809,40.702566,-73.816859
BRONX PARK EAST,17308,40.848797,-73.868465
ROCKAWAY PK 116,6686,40.580454,-73.837459
GUN HILL ROAD,77046,40.877796,-73.866255
GROVE STREET,109221,40.719876,-74.042616
QUEENS PLAZA,62438,40.748948,-73.937194
UNION ST,38285,40.677302,-73.983135
PROSPECT AVE,77969,40.819396,-73.901467
E 177 ST-PARKCH,99018,40.833246,-73.860805
RALPH AVE,35790,40.678815,-73.920801
